variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,280.981,80, 0.300, 0.004, 0.007, 281.288 + -0.008 t, 0.000
PREC,mm d$^{-1}$,2.378,80, 0.066, 0.001, 0.002, 2.342 +  0.001 t, 0.005
ELAI,m${-2}$ m${-2}$,1.017,80, 0.033, 0.000, 0.001, 1.026 + -0.000 t, 0.170
FSDS,W m$^{-2}$,198.251,80, 0.464, 0.006, 0.011, 198.030 +  0.005 t, 0.015
FLDS,W m$^{-2}$,298.032,80, 1.662, 0.021, 0.041, 299.746 + -0.042 t, 0.000
ASA,% reflected,29.057,80, 0.147, 0.002, 0.004, 28.939 +  0.003 t, 0.000
RNET,W m$^{-2}$,72.084,80, 0.368, 0.005, 0.009, 72.289 + -0.005 t, 0.004
FSH,W m$^{-2}$,33.098,80, 0.463, 0.006, 0.011, 33.307 + -0.005 t, 0.021
ET,W m$^{-2}$,38.152,80, 0.609, 0.008, 0.015, 38.093 +  0.001 t, 0.627
FCTR,W m$^{-2}$,17.843,80, 0.419, 0.005, 0.010, 17.986 + -0.004 t, 0.084
FGEV,W m$^{-2}$,12.280,80, 0.319, 0.004, 0.008, 11.968 +  0.008 t, 0.000
FCEV,W m$^{-2}$,8.029,80, 0.162, 0.002, 0.004, 8.140 + -0.003 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,1.002,80, 0.045, 0.001, 0.001, 0.965 +  0.001 t, 0.000
SNOWDP,m,2.278,80, 0.010, 0.000, 0.000, 2.289 + -0.000 t, 0.000
GPP,PgC y$^{-1}$,85.158,80, 2.149, 0.027, 0.053, 84.965 +  0.005 t, 0.653
NPP,PgC y$^{-1}$,34.363,80, 0.818, 0.010, 0.020, 34.213 +  0.004 t, 0.356
NEE,PgC y$^{-1}$,1.969,80, 1.828, 0.023, 0.045, 4.688 + -0.067 t, 0.000
NBP,PgC y$^{-1}$,-2.492,80, 1.838, 0.023, 0.045,-5.227 +  0.068 t, 0.000
BTRANMN,unitless,0.574,80, 0.00444, 5.54e-05, 0.000109, 0.568 +  0.000148 t, 5.58e-17
TOTVEGC,PgC,417.255,80, 29.177, 0.365, 0.715, 463.247 + -1.136 t, 0.000
TOTECOSYSC,gC/m^2,19087.331,80, 354.490, 4.431, 8.685, 19680.364 + -14.643 t, 0.000
TOTSOMC_1m,PgC,1569.293,80, 15.015, 0.188, 0.368, 1595.552 + -0.648 t, 0.000
ALTMAX,m,32.239,80, 0.198, 0.002, 0.005, 31.924 +  0.008 t, 0.000
FAREA_BURNED,s-1,2.78e-09,80, 1.89e-10, 2.36e-12, 4.63e-12, 2.86e-09 + -1.96e-12 t, 0.0329
DSTFLXT,Pg y$^{-1}$,7.981,80, 0.395, 0.005, 0.010, 8.204 + -0.005 t, 0.004
MEG_isoprene,Tg y$^{-1}$,421.513,80, 34.536, 0.432, 0.846, 440.212 + -0.462 t, 0.005
